iter	Passed	Remaining
568	1430	1083
569	1433	1081
570	1436	1079
571	1438	1076
572	1441	1073
573	1442	1070
574	1444	1067
575	1446	1065
576	1449	1062
577	1452	1060
578	1454	1057
579	1456	1054
580	1458	1051
581	1459	1048
582	1463	1046
583	1465	1043
584	1468	1041
585	1470	1038
586	1471	1035
587	1473	1032
588	1475	1029
589	1477	1026
590	1481	1025
591	1483	1022
592	1485	1019
593	1487	1016
594	1488	1013
595	1490	1010
596	1491	1007
597	1494	1004
598	1496	1001
599	1497	998
600	1499	995
601	1500	992
602	1502	989
603	1504	986
604	1506	983
605	1508	980
606	1509	977
607	1511	974
608	1512	971
609	1514	968
610	1516	965
611	1517	962
612	1520	960
613	1522	956
614	1524	954
615	1526	951
616	1528	948
617	1530	945
618	1532	943
619	1533	940
620	1535	937
621	1537	934
622	1540	931
623	1541	928
624	1544	926
625	1545	923
626	1547	920
627	1548	917
628	1550	914
629	1552	911
630	1555	909
631	1558	907
632	1560	905
633	1563	902
634	1568	901
635	1571	899
636	1578	899
637	1581	897
638	1586	896
639	1588	893
640	1590	890
641	1592	887
642	1594	885
643	1596	882
644	1598	879
645	1601	877
646	1603	874
647	1605	872
648	1607	869
649	1609	866
650	1611	863
651	1615	862
652	1617	859
653	1619	856
654	1621	853
655	1623	851
656	1625	848
657	1627	845
658	1631	844
659	1634	841
660	1636	839
661	1638	836
662	1641	834
663	1642	831
664	1645	829
665	1647	826
666	1649	823
667	1651	820
668	1653	817
669	1654	815
670	1659	813
671	1661	810
672	1663	808
673	1666	806
674	1668	803
675	1669	800
676	1672	798
677	1676	796
678	1678	793
679	1680	790
680	1682	787
681	1683	785
682	1685	782
683	1687	779
684	1689	776
685	1691	774
686	1693	771
687	1695	768
688	1696	765
689	1699	763
690	1700	760
691	1703	758
692	1706	755
693	1709	753
694	1710	750
695	1713	748
696	1714	745
697	1717	742
698	1721	741
699	1722	738
700	1724	735
701	1728	733
702	1730	731
703	1732	728
704	1736	726
705	1738	723
706	1740	721
707	1742	718
708	1745	716
709	1748	714
710	1751	712
711	1754	709
712	1756	707
713	1759	704
714	1760	701
715	1763	699
716	1766	697
717	1768	694
718	1770	691
719	1772	689
720	1773	686
721	1775	683
722	1777	681
723	1781	679
724	1783	676
725	1785	673
726	1787	671
727	1789	668
728	1791	666
729	1793	663
730	1797	661
731	1799	658
732	1801	656
733	1807	654
734	1812	653
735	1815	651
736	1817	648
737	1819	645
738	1821	643
739	1823	640
740	1826	638
741	1827	635
742	1829	632
743	1831	630
744	1833	627
745	1835	624
746	1837	622
747	1838	619
748	1841	617
749	1843	614
750	1845	611
751	1847	609
752	1848	606
753	1850	603
754	1852	601
755	1853	598
756	1856	595
757	1861	594
758	1863	591
759	1866	589
760	1868	586
761	1871	584
762	1874	582
763	1876	579
764	1878	577
765	1880	574
766	1882	571
767	1884	569
768	1888	567
769	1890	564
770	1892	561
771	1893	559
772	1895	556
773	1898	554
774	1900	551
775	1903	549
776	1905	546
777	1907	544
778	1909	541
779	1912	539
780	1913	536
781	1915	534
782	1918	531
783	1920	529
784	1922	526
785	1924	524
786	1927	521
787	1928	518
788	1930	516
789	1933	513
790	1935	511
791	1937	508
792	1939	506
793	1941	503
794	1942	500
795	1944	498
796	1946	495
797	1948	493
798	1950	490
